Never give up....that's the worst thing you could do. There's always a chance.,6
Honored to meet this years  delegates Pence in the East Room of the WhiteHouse. Congratulations ,4
U.S. Consumer Comfort Just Reached Its Highest Level in a Decade',7
"Despite what you hear in the press, healthcare is coming along great. We are talking to many groups and it will end in a beautiful picture!",7
DonaldTrump's First Full Month in Office Sees Biggest Jobs Gain 'In Years': Report: ,8
"Great news. We are only just beginning. Together, we are going to mega ",6
Met with Cummings today at the WhiteHouse. Great discussion!,5
LinkedIn Workforce Report: January and February were the strongest consecutive months for hiring since August and September 2015,7
"On International Women's Day, join me in honoring the critical role of women here in America; around the world.",4
I have tremendous respect for women and the many roles they serve that are vital to the fabric of our society and our economy.,7
I feel sure that my friend RandPaul will come along with the new and great health care program because he knows Obamacare is a disaster!,9
"Don't let the FAKE NEWS tell you that there is big infighting in the Trump Admin. We are getting along great, and getting major things done!",10
I am working on a new system where there will be competition in the Drug Industry. Pricing for the American people will come way down!,8
"Don't worry, getting rid of state lines, which will promote competition, will be in phase 2 & 3 of healthcare rollout.",9
"For eight years Russia ""ran over"" President Obama, got stronger and stronger, picked-off Crimea and added missiles. Weak! ",9
Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is imploding fast!,8
"122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!",9
"Thank you to exxonmobil for your $20 billion investment that is creating more than 45,000 manufacturing & construction jobs in the USA!",7
"Buy American & hire American are the principles at the core of my agenda, which is: JOBS, JOBS, JOBS! Thank you exxonmobil.",8
There is an incredible spirit of optimism sweeping the country right now—we're bringing back the JOBS! ,5
"45,000 construction & manufacturing jobs in the U.S. Gulf Coast region. $20 billion investment. We are already winning again, America!",10
"'President Trump Congratulates Exxon Mobil for Job-Creating Investment Program'
https://t.co/adBzWhtq8S",6
Thank you for the great rallies all across the country. Tremendous support. Make America Great Again!,10
"Who was it that secretly said to Russian President, ""Tell Vladimir that after the election I'll have more flexibility?"" ",8
Is it true the DNC would not allow the FBI access to check server or other equipment after learning it was hacked? Can that be possible?,8
"Arnold Schwarzenegger isn't voluntarily leaving the Apprentice, he was fired by his bad (pathetic) ratings, not by me. Sad end to great show",10
How low has President Obama gone to tapp my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!,10
"I'd bet a good lawyer could make a great case out of the fact that President Obama was tapping my phones in October, just prior to Election!",10
"Is it legal for a sitting President to be ""wire tapping"" a race for president prior to an election? Turned down by court earlier. A NEW LOW!",9
